,Region,Name,Source,TimeFrame,Attributes,ReligiousGroup,ReligiousPlace,CleanedAttributes,Start_year,End_year,CurrentRegion,Latitude,Longitude,Continent
0,afghanistan,Chishti Sufis,Supervised by: Stephen Christopher,1200 CE - 2020 CE,"Religious Group,Sufi,Islamic Traditions,South Asian Religion,Indic Religious Traditions",1,0,"['Sufi', 'Islamic Traditions', 'South Asian Religion', 'Indic Religious Traditions']",1200,2020,Afghanistan,33.93911,67.709953,Asia
1,africa,African Initiated Churches,No Source,1900 CE - 2022 CE,"Religious Group,pentecostal,African Religions,Christian Traditions,African Religion,Liberation Theology,Religious Practice,Born Again Christianity",1,0,"['pentecostal', 'African Religions', 'Christian Traditions', 'African Religion', 'Liberation Theology', 'Religious Practice', 'Born Again Christianity']",1900,2022,Africa,-8.783195,34.508523,Africa
2,africa,Ancient Egypt - Early Dynastic Period,No Source,2950 BCE - 2670 BCE,"Religious Group,African Religions,Egyptian Religions",1,0,"['African Religions', 'Egyptian Religions']",-2950,-2670,Africa,-8.783195,34.508523,Africa
3,africa,Ancient Egypt - First Intermediate Period,No Source,2168 BCE - 2010 BCE,"Religious Group,African Religions,Egyptian Religions",1,0,"['African Religions', 'Egyptian Religions']",-2168,-2010,Africa,-8.783195,34.508523,Africa
4,africa,Ancient Egypt - Old Kingdom,No Source,2670 BCE - 2168 BCE,"Religious Group,African Religions,Egyptian Religions",1,0,"['African Religions', 'Egyptian Religions']",-2670,-2168,Africa,-8.783195,34.508523,Africa
5,africa,Ancient Egypt - Predynastic Period - Early Naqada Culture,No Source,4000 BCE - 2950 BCE,"Religious Group,African Religions,Prehistoric Religion,Egyptian Religions",1,0,"['African Religions', 'Prehistoric Religion', 'Egyptian Religions']",-4000,-2950,Africa,-8.783195,34.508523,Africa
6,africa,Ancient Egypt - the Ramesside Period,No Source,1292 BCE - 1070 BCE,"Religious Group,Egyptian Religions,African Religions",1,0,"['Egyptian Religions', 'African Religions']",-1292,-1070,Africa,-8.783195,34.508523,Africa
7,africa,Diya'u al-Ta'aweel fee Ma'ani al-Tanzeel (The Bright interpretation of the meanings of the Qur'an),No Source,1766 CE - 1828 CE,"Religious Group,Text,Qur'anic commentary (Tafsir),African Religion,Shari'a,Islamic Traditions",1,0,"['Text', ""Qur'anic commentary (Tafsir)"", 'African Religion', ""Shari'a"", 'Islamic Traditions']",1766,1828,Africa,-8.783195,34.508523,Africa
8,africa,Heliopolis Project,No Source,3500 BCE - 2021 CE,"Religious Group,Religious Place,Early Christianity,Aegean,Egyptian Religions,Islamic Traditions,Monument,Shrine,Open-Air Sanctuary,Religious Complex,Temenos,Constantine,Temple,Sacred Enclosure,Altar,shrines,Hellenistic Religions,Greece,Egypt,City,Cemetery,Alexandria,Graeco-Roman,Tomb,Archaeological monument",1,1,"['Early Christianity', 'Aegean', 'Egyptian Religions', 'Islamic Traditions', 'Monument', 'Shrine', 'Open-Air Sanctuary', 'Religious Complex', 'Temenos', 'Constantine', 'Temple', 'Sacred Enclosure', 'Altar', 'shrines', 'Hellenistic Religions', 'Greece', 'Egypt', 'City', 'Cemetery', 'Alexandria', 'Graeco-Roman', 'Tomb', 'Archaeological monument']",-3500,2021,Africa,-8.783195,34.508523,Africa
9,africa,maqame sidi Ahmed Tliliزاوية سيدي أحمد التليلي,No Source,1733 CE - 2023 CE,"Religious Group,Religious Place,Sufi,Tunisia,North Africa,Maghreb Religions,Islamic Traditions,Mysticism,Sufi Order",1,1,"['Sufi', 'Tunisia', 'North Africa', 'Maghreb Religions', 'Islamic Traditions', 'Mysticism', 'Sufi Order']",1733,2023,Africa,-8.783195,34.508523,Africa
10,africa,"Monastic Communities of Lower Egypt: Nitria, Kellia, Scetis",No Source,330 CE - 470 CE,"Religious Group,Christian Traditions,Early Christianity",1,0,"['Christian Traditions', 'Early Christianity']",330,470,Africa,-8.783195,34.508523,Africa
11,africa,Nigerian Pentecostalism,No Source,1910 CE - 2020 CE,"Religious Group,African Religions,Apocalyptic Movements,New Religious Movement,Christianity of the global South,Born Again Christianity,Evangelical religion,Aladura",1,0,"['African Religions', 'Apocalyptic Movements', 'New Religious Movement', 'Christianity of the global South', 'Born Again Christianity', 'Evangelical religion', 'Aladura']",1910,2020,Africa,-8.783195,34.508523,Africa
12,africa,Religion at Tell el-Dab'a (ancient Avaris) in Ancient Egypt,No Source,1960 BCE - 1550 BCE,"Religious Group,Levantine Religion,Egyptian Religions,Canaanite Religions",1,0,"['Levantine Religion', 'Egyptian Religions', 'Canaanite Religions']",-1960,-1550,Africa,-8.783195,34.508523,Africa
13,africa,Religion in Greco-Roman Alexandria,No Source,300 BCE - 200 CE,"Religious Group,Egyptian Religions,Hellenistic Religions,Greek Cult,Roman Religious Traditions,Jewish Traditions",1,0,"['Egyptian Religions', 'Hellenistic Religions', 'Greek Cult', 'Roman Religious Traditions', 'Jewish Traditions']",-300,200,Africa,-8.783195,34.508523,Africa
14,africa,The Early Christian Basilicas of Ancient Aksūm (modern Ethiopia and Eritrea),No Source,300 CE - 800 CE,"Religious Group,Religious Place,Archaeological Site,Basilica,Abrahamic,Christian Traditions,Archaeological monument,Religious Complex",1,1,"['Archaeological Site', 'Basilica', 'Abrahamic', 'Christian Traditions', 'Archaeological monument', 'Religious Complex']",300,800,Africa,-8.783195,34.508523,Africa
15,africa,"The New Prophecy or ""Montanism""",No Source,165 CE - 550 CE,"Religious Group,Roman Religions,Early Christianity,Anatolian Religions,Montanism,New Prophecy,Apocalyptic Movements,Rome,Gaul,Carthage,Christian Traditions,Tertullian,Phrygia,Prophecy,Heresy,Asia Minor,Roman Religious Traditions",1,0,"['Roman Religions', 'Early Christianity', 'Anatolian Religions', 'Montanism', 'New Prophecy', 'Apocalyptic Movements', 'Rome', 'Gaul', 'Carthage', 'Christian Traditions', 'Tertullian', 'Phrygia', 'Prophecy', 'Heresy', 'Asia Minor', 'Roman Religious Traditions']",165,550,Africa,-8.783195,34.508523,Africa
16,africa,The Old Monastery of Baramus,Secondary source: Multiple References,380 CE - 1500 CE,"Religious Place,Religious Group,Monasticism,Early Christian Monasticism in Egypt,Christian Traditions,Monastery,Egypt",1,1,"['Monasticism', 'Early Christian Monasticism in Egypt', 'Christian Traditions', 'Monastery', 'Egypt']",380,1500,Africa,-8.783195,34.508523,Africa
17,africa,The Pyramid of Unas,No Source,2345 BCE - 2315 BCE,"Religious Group,Religious Place,African Religions,Tomb,Egypt",1,1,"['African Religions', 'Tomb', 'Egypt']",-2345,-2315,Africa,-8.783195,34.508523,Africa
18,africa,The Sayings of the Desert Fathers,No Source,390 CE - 500 CE,"Religious Group,Text,Early Christian Monasticism in Egypt,Sayings Text (Greek: Apophthegmata)",1,0,"['Text', 'Early Christian Monasticism in Egypt', 'Sayings Text (Greek: Apophthegmata)']",390,500,Africa,-8.783195,34.508523,Africa
19,africa,The Tomb of Meresankh III,No Source,2620 BCE - 2570 BCE,"Religious Place,Religious Group,Egyptian Religions,Tomb,Archaeological monument",1,1,"['Egyptian Religions', 'Tomb', 'Archaeological monument']",-2620,-2570,Africa,-8.783195,34.508523,Africa
